sentence,label
Skills,other
"Programming Languages: Python (pandas, numpy, scipy, scikit-learn, matplotlib), Sql, Java, JavaScript/JQuery",skills
"Machine learning: Regression, SVM, NaÃ¯ve Bayes, KNN, Random Forest, Decision Trees, Boosting techniques, Cluster Analysis, Word Embedding, Sentiment Analysis, Natural Language processing, Dimensionality reduction, Topic Modelling (LDA, NMF), PCA & Neural Nets",skills
"Database Visualizations: Mysql, SqlServer, Cassandra, Hbase, ElasticSearch D3",skills
"js, DC",other
"js, Plotly, kibana, matplotlib, ggplot, Tableau",other
"Others: Regular Expression, HTML, CSS, Angular 6, Logstash, Kafka, Python Flask, Git, Docker, computer vision - Open CV and understanding of Deep learning",skills
Education Details,other
Data Science Assurance Associate,other
Data Science Assurance Associate - Ernst & Young LLP,other
Skill Details,other
JAVASCRIPT- Exprience - 24 months,skills
jQuery- Exprience - 24 months,other
Python- Exprience - 24 monthsCompany Details,experience
company - Ernst & Young LLP,experience
description - Fraud Investigations and Dispute Services   Assurance,other
TECHNOLOGY ASSISTED REVIEW,other
TAR (Technology Assisted Review) assists in accelerating the review process and run analytics and generate reports,other
"Core member of a team helped in developing automated review platform tool from scratch for assisting E discovery domain, this tool implements predictive coding and topic modelling by automating reviews, resulting in reduced labor costs and time spent during the lawyers review",other
"Understand the end to end flow of the solution, doing research and development for classification models, predictive analysis and mining of the information present in text data",other
Worked on analyzing the outputs and precision monitoring for the entire tool,experience
"TAR assists in predictive coding, topic modelling from the evidence by following EY standards",other
"Developed the classifier models in order to identify ""red flags"" and fraud-related issues",project
"Tools & Technologies: Python, scikit-learn, tfidf, word2vec, doc2vec, cosine similarity, NaÃ¯ve Bayes, LDA, NMF for topic modelling, Vader and text blob for sentiment analysis",skills
"Matplot lib, Tableau dashboard for reporting",other
MULTIPLE DATA SCIENCE AND ANALYTIC PROJECTS (USA CLIENTS),project
TEXT ANALYTICS - MOTOR VEHICLE CUSTOMER REVIEW DATA,other
Received customer feedback survey data for past one year,other
"Performed sentiment (Positive, Negative & Neutral) and time series analysis on customer comments across all 4 categories",other
Created heat map of terms by survey category based on frequency of words,project
Extracted Positive and Negative words across all the Survey categories and plotted Word cloud,other
Created customized tableau dashboards for effective reporting and visualizations,project
CHATBOT,other
"Developed a user friendly chatbot for one of our Products which handle simple questions about hours of operation, reservation options and so on",project
This chat bot serves entire product related questions,other
Giving overview of tool via QA platform and also give recommendation responses so that user question to build chain of relevant answer,other
This too has intelligence to build the pipeline of questions as per user requirement and asks the relevant /recommended questions,other
"Tools & Technologies: Python, Natural language processing, NLTK, spacy, topic modelling, Sentiment analysis, Word Embedding, scikit-learn, JavaScript/JQuery, SqlServer",skills
INFORMATION GOVERNANCE,other
Organizations to make informed decisions about all of the information they store,other
The integrated Information Governance portfolio synthesizes intelligence across unstructured data sources and facilitates action to ensure organizations are best positioned to counter information risk,other
"Scan data from multiple sources of formats and parse different file formats, extract Meta data information, push results for indexing elastic search and created customized, interactive dashboards using kibana",project
"Preforming ROT Analysis on the data which give information of data which helps identify content that is either Redundant, Outdated, or Trivial",other
"Preforming full-text search analysis on elastic search with predefined methods which can tag as (PII) personally identifiable information (social security numbers, addresses, names, etc",other
) which frequently targeted during cyber-attacks,other
"Tools & Technologies: Python, Flask, Elastic Search, Kibana",skills
FRAUD ANALYTIC PLATFORM,other
Fraud Analytics and investigative platform to review all red flag cases,other
â¢ FAP is a Fraud Analytics and investigative platform with inbuilt case manager and suite of Analytics for various ERP systems,experience
It can be used by clients to interrogate their Accounting systems for identifying the anomalies which can be indicators of fraud by running advanced analytics,other
"Tools & Technologies: HTML, JavaScript, SqlServer, JQuery, CSS, Bootstrap, Node",skills
"js, D3",other
"js, DC",other
js,other
Education Details,other
May 2013 to May 2017 B,other
E   UIT-RGPV,other
Data Scientist,other
Data Scientist - Matelabs,other
Skill Details,other
Python- Exprience - Less than 1 year months,skills
Statsmodels- Exprience - 12 months,other
AWS- Exprience - Less than 1 year months,other
Machine learning- Exprience - Less than 1 year months,skills
Sklearn- Exprience - Less than 1 year months,other
Scipy- Exprience - Less than 1 year months,other
Keras- Exprience - Less than 1 year monthsCompany Details,experience
company - Matelabs,experience
"description - ML Platform for business professionals, dummies and enthusiasts",other
"60/A Koramangala 5th block,",other
"Achievements/Tasks behind sukh sagar, Bengaluru,",other
India                               Developed and deployed auto preprocessing steps of machine learning mainly missing value,skills
"treatment, outlier detection, encoding, scaling, feature selection and dimensionality reduction",other
Deployed automated classification and regression model,other
linkedin,other
com/in/aditya-rathore-,other
"b4600b146                           Reasearch and deployed the time series forecasting model ARIMA, SARIMAX, Holt-winter and",other
Prophet,other
Worked on meta-feature extracting problem,experience
github,other
com/rathorology,other
Implemented a state of the art research paper on outlier detection for mixed attributes,project
company - Matelabs,experience
description -,other
"Areas of Interest Deep Learning, Control System Design, Programming in-Python, Electric Machinery, Web Development, Analytics Technical Activities q Hindustan Aeronautics Limited, Bangalore - For 4 weeks under the guidance of Mr",skills
"Satish, Senior Engineer in the hangar of Mirage 2000 fighter aircraft Technical Skills Programming Matlab, Python and Java, LabView, Python WebFrameWork-Django, Flask, LTSPICE-intermediate Languages and and MIPOWER-intermediate, Github (GitBash), Jupyter Notebook, Xampp, MySQL-Basics, Python Software Packages Interpreters-Anaconda, Python2, Python3, Pycharm, Java IDE-Eclipse Operating Systems Windows, Ubuntu, Debian-Kali Linux Education Details",experience
January 2019 B,other
Tech,other
